Date,Price,Volume,RSI,EMA,MACD,MACD_Signal,ATR,BollingerMiddle,BollingerUpper,BollingerLower,STD,UpCandle,DownCandle,Dominance,DXY,FearGreed,HashRate
2019-06-08,7954.1279,16522722810,48.43764416501308,8085.177513510761,245.23953911396893,401.36232660932,385.85002857142894,8208.197895,8977.037429974314,7439.358360025684,395.0405356696183,0.1676535845199106,0.4869481524387937,68.52409483711821,96.66000111897787,62,45982019.7561675
2019-06-09,7688.0771,16610726547,32.37665079357413,8032.230791709327,194.7732203872638,360.0445053649088,359.4146214285718,8193.686295000001,8991.216383222569,7396.156206777435,416.3723618552902,0.0669611849033404,0.2669795678928118,68.66759122562806,96.71000162760416,62,46630959.5511134
2019-06-10,8000.3296,18689275117,36.46155214113558,8027.977299481417,177.92347528358096,323.6202993486432,374.1795500000003,8195.536395,8990.98540735061,7400.087382649388,389.9150122398268,0.0709380300539987,0.2371041112254479,67.84465917823336,96.76000213623048,46,47279899.3460593
2019-06-11,7927.7144,17107279932,36.62408500264209,8014.608912883894,156.90182455808915,290.2766043905324,379.9863642857145,8207.918795000001,8976.850206916388,7438.987383083615,365.72051403288697,0.0873467952047071,0.6108699741275575,67.50768216704543,96.69000244140624,61,47928839.1410052
2019-06-12,8145.8574,19034432883,41.76647867566773,8032.108711166042,156.04553610298262,263.4303907330224,384.3552571428572,8221.119330000001,8975.406337392677,7466.832322607326,334.6399779145967,0.1519376227420333,0.1886819319240718,68.24834363266729,97.0,60,48577778.9359511
2019-06-13,8230.9238,18669407147,48.454207218409536,8058.617389677236,160.38228177373458,242.82076894116489,344.1742071428572,8233.29694,8979.51540213844,7487.07847786156,331.17187442693466,0.3592040137831231,0.2605021504954879,69.31020124769557,97.01000213623048,63,48403839.3221031
2019-06-14,8693.833,19831162906,51.94219181956247,8143.312804386938,198.8795283046802,234.032520813868,352.2552928571428,8265.361395,9033.662142511146,7497.060647488854,345.48027500890026,0.0318708467964307,0.0901012359372402,70.76359041309681,97.56999969482422,67,48229899.7082551
2019-06-15,8838.375,18371033226,54.27865770757053,8235.987763802013,238.3051712755941,234.8870509062132,359.1631428571428,8273.619354999999,9063.621910791248,7483.616799208751,379.2784712239689,0.0862073405989372,0.296389684147211,72.36741792214887,97.56666564941406,75,48055960.094407104
2019-06-16,8994.4883,23348550311,53.950780430954815,8337.121168628411,278.9319619647649,243.6960331179236,378.68045,8283.054855,9103.731405319597,7462.378304680404,414.80783543979953,0.654847417259498,0.0515696400571934,75.31858149903948,97.56333160400392,80,47882020.4805591
2019-06-17,9320.3525,15562951919,68.67701877675324,8468.218679477957,333.5782217700744,261.6724708483538,370.6925142857141,8313.074385,9238.30524619198,7387.84352380802,520.2025087144317,0.2246980818436434,0.0001,78.49945808692061,97.55999755859376,84,49171151.80118956
2019-06-18,9081.7627,15848210536,75.32642064106163,8550.024548880898,353.55797720990086,280.04957212066324,349.0479428571427,8334.188155,9310.562941555509,7357.813368444491,543.5887400440765,0.0375785433830811,0.2237770931363924,79.57521370909956,97.63999938964844,83,50460283.12182
2019-06-19,9273.5215,15546809946,75.9928379584329,8646.490809030112,380.4794793099391,300.13555355851844,348.76544285714266,8381.890595,9444.64093166874,7319.140258331261,577.589359551848,0.1138598830148097,0.0363484706769241,79.25576371292473,97.12000274658205,82,51749414.44245045
2019-06-20,9527.1602,17846823784,78.05151852650036,8763.913394492763,417.4691623876315,323.60227532434106,348.4844357142856,8429.523505000001,9607.746721580545,7251.300288419458,617.9684925286607,0.1858333874405806,0.1121086491930193,53.96219493469788,96.62999725341795,81,53038545.7630809
