Date,Actual,Predicted
2024-03-30,69645.30526417366,68571.25838426285
2024-03-31,71333.6495576299,68528.69978061739
2024-04-01,69702.14798114331,68613.54220231203
2024-04-02,65446.97221174577,68510.3981123682
2024-04-03,65980.81192893042,68136.8034058039
2024-04-04,68508.84415244438,68412.49389948457
2024-04-05,67837.64243205424,68298.6142205548
2024-04-06,68896.10707358255,68458.27412736235
2024-04-07,69362.55562327805,68373.12375629255
2024-04-08,71631.36080047503,68564.72038214433
2024-04-09,69139.01754069938,68379.0458596608
2024-04-10,70587.88144930969,68346.54535637594
2024-04-11,70060.6105291811,68318.20927617961
2024-04-12,67195.86645888019,67565.23041479822
2024-04-13,63821.47327923321,65010.449234790634
2024-04-14,65738.72581860244,64895.664658466194
2024-04-15,63426.21078086522,65080.95305981013
2024-04-16,63811.86288988724,64674.89338258117
2024-04-17,61276.69097855255,63692.95416077717
2024-04-18,63512.75403064722,63573.3845249312
2024-04-19,63843.569831320754,63269.187394477194
2024-04-20,64994.440604965625,64646.1190667356
2024-04-21,64926.6443656061,64545.83653713929
2024-04-22,66837.67869643868,65041.32234406991
2024-04-23,66407.2744366836,65128.91262172742
2024-04-24,64276.8972412984,64094.42302347506
2024-04-25,64481.707264185374,63758.14941233737
2024-04-26,63755.3210157687,64184.46031424432
2024-04-27,63419.13978944355,64365.45400622561
2024-04-28,63113.229986695456,63886.924365658924
2024-04-29,63841.12044936766,64080.29051599711
2024-04-30,60636.85508644192,61971.23289273755
2024-05-01,58254.01151794491,60103.887102873094
2024-05-02,59123.43314459384,59798.70453441862
2024-05-03,62889.83640343898,61623.15060748359
2024-05-04,63891.47254104572,63537.29759584654
2024-05-05,64031.13232035808,63839.67545614581
2024-05-06,63161.94994668524,63361.21688081954
2024-05-07,62334.816875768185,63189.45219472732
2024-05-08,61187.94233747621,62781.22976534828
2024-05-09,63049.96060315061,62927.81366791879
2024-05-10,60792.77696160345,62509.70132591481
2024-05-11,60793.71028509429,62440.58564192483
2024-05-12,61448.394074769734,62707.11819495687
2024-05-13,62901.44846372341,63042.28555718537
2024-05-14,61552.78891294495,63720.0086978046
2024-05-15,66267.49147762118,65545.96609164916
2024-05-16,65231.582943401794,65854.17130166278
2024-05-17,67051.87406874364,66971.83091961859
2024-05-18,66940.80383565175,67151.65440397432
2024-05-19,66278.36682824661,67372.58676107095
2024-05-20,71448.19724981961,68589.68796994479
2024-05-21,70136.53189436183,68488.10257760747
2024-05-22,69122.33615993174,68665.45299159661
2024-05-23,67929.5629516946,68356.41394942875
2024-05-24,68526.10353050075,68429.11369037718
2024-05-25,69265.94479777005,68550.85318489726
2024-05-26,68518.09210906421,68185.16093306754
2024-05-27,69394.55393219729,68497.33632117922
2024-05-28,68296.21695311133,68253.03771303289
2024-05-29,67578.09322331403,68137.12556822713
2024-05-30,68364.99389278865,68128.07659428047
2024-05-31,67491.41258073387,67646.4627222796
2024-06-01,67706.939241876,67968.99468476165
2024-06-02,67751.60137663786,67757.12551465975
2024-06-03,68804.7835019617,68045.26663846179
2024-06-04,70567.76524858848,68508.69728428085
2024-06-05,71082.82242273043,68607.39742785715
2024-06-06,70757.16358966996,68597.68991601595
2024-06-07,69342.58629072037,68385.82074591405
2024-06-08,69305.77449618344,68391.6433579457
2024-06-09,69647.99153026148,68434.40094426434
2024-06-10,69512.28060947506,68638.27290597778
2024-06-11,67332.03219720529,68148.57180961725
2024-06-12,68241.18876861372,68330.35669460853
2024-06-13,66756.39901213037,67742.59030415276
2024-06-14,66011.09282787287,67412.43067253243
2024-06-15,66190.99922167574,67499.66088630515
2024-06-16,66639.04661178547,67218.0009124293
2024-06-17,66490.29758822353,66725.31033828849
2024-06-18,65140.74498425715,64319.07683032831
2024-06-19,64960.29612578574,64622.193769127945
2024-06-20,64828.65724327532,63443.79942786887
2024-06-21,64096.199654485536,63685.58232650439
2024-06-22,64252.5787160271,63978.42796922216
2024-06-23,63180.79644844431,62783.93498216689
2024-06-24,60277.4142069277,59429.59878220744
2024-06-25,61804.641756147816,61107.89918835116
2024-06-26,60811.27761252581,61022.02868951179
2024-06-27,61604.80156240746,61378.87331890938
2024-06-28,60320.13626062614,61027.59072899523
2024-06-29,60887.379009648954,60702.39145115613
2024-06-30,62678.29413344301,62411.33045128576
2024-07-01,62851.97994986789,63021.520293935
2024-07-02,62029.016039722075,63209.068569924246
2024-07-03,60173.921897305816,61912.71303609402
2024-07-04,56977.70348843683,59151.07041659271
2024-07-05,56662.3751724919,57191.00817639519
2024-07-06,58303.53925283412,59664.234886498176
2024-07-07,55849.10929882191,58763.43795620435
2024-07-08,56705.09722619034,58403.78624981022
2024-07-09,58009.22729732237,58944.26109160863
2024-07-10,57742.49576161716,59195.36064326305
2024-07-11,57344.914167570176,58593.98289042573
2024-07-12,57899.464664654195,59408.383439101075
2024-07-13,59231.95213555469,60201.149359751595
2024-07-14,60787.79291940875,61483.09996934893
2024-07-15,64870.15223715585,64477.756036818086
2024-07-16,65097.14882810156,64891.199392526556
2024-07-17,64118.793663256016,66630.26768575239
2024-07-18,63974.066932301794,66881.45014685397
2024-07-19,66710.15449134851,67779.397361007
2024-07-20,67163.650216557,68081.09773268095
2024-07-21,68154.52233908165,68207.17220686658
2024-07-22,67585.25186186554,68341.98770562373
2024-07-23,65927.67171098659,68432.80908287896
2024-07-24,65372.13340706074,68406.81815561646
2024-07-25,65777.22659702,68040.42946443062
2024-07-26,67912.06195182081,68429.3505745119
2024-07-27,67813.33811983102,68265.75839106784
2024-07-28,68255.86610960154,68132.05151006122
2024-07-29,66819.91238633399,68424.81661217319
2024-07-30,66201.0146828921,67948.49946942487
2024-07-31,64619.249299333256,67845.05690547127
2024-08-01,65357.50107405851,66799.31294197793
2024-08-02,61415.06684585467,64050.16359174224
2024-08-03,60680.09354755406,62965.2460988887
2024-08-04,58116.976414845354,60239.53880262583
2024-08-05,53991.45680775057,50076.04158395395
2024-08-06,56034.31715956003,55782.530643914884
2024-08-07,55027.46009562384,56312.82420560263
2024-08-08,61710.13683059755,58164.85069847415
2024-08-09,60880.11377323681,60879.637636126005
2024-08-10,60945.81358800398,61703.523025555915
2024-08-11,58719.48410500532,60307.03183029291
2024-08-12,59354.51598686363,59299.56834297182
2024-08-13,60609.566034121104,60989.840873284775
2024-08-14,58737.2693658408,60518.54804303407
2024-08-15,57560.09734671694,59274.92054875323
2024-08-16,58894.10561376239,60584.027555555935
2024-08-17,59478.97254240907,61073.19803145467
2024-08-18,58483.96442289205,61882.16445807932
2024-08-19,59493.45326956507,62465.723786302304
2024-08-20,59012.79404062717,62137.08258198558
2024-08-21,61175.19086450373,62984.18735430167
2024-08-22,60381.9132741222,62435.85743459563
2024-08-23,64094.354327076,63684.400274672094
2024-08-24,64178.99302841477,65568.11475824635
2024-08-25,64333.54334443623,66684.91685563445
2024-08-26,62880.65951205956,67457.24915082322
2024-08-27,59504.132006358675,65172.913849753386
2024-08-28,59027.62535630257,64060.9157626176
2024-08-29,59388.179591250024,64327.19484962548
2024-08-30,59119.47717954386,63966.38477981252
2024-08-31,58969.89906151038,63885.65229785543
2024-09-01,57325.48729968102,62898.541895390284
2024-09-02,59112.47962220396,63386.3692382451
2024-09-03,57431.023919385625,62430.85444167015
2024-09-04,57971.539031486944,61280.34373191006
2024-09-05,56160.4887562409,60737.40529511048
2024-09-06,53948.75370478291,53640.40873312981
2024-09-07,54139.68705505744,56774.66535887764
2024-09-08,54841.565270895015,57441.2454697992
2024-09-09,57019.534857788676,57629.77681494757
2024-09-10,57648.71096383648,60452.66345864179
2024-09-11,57343.17306917992,60826.52347543699
2024-09-12,58127.01082679248,60663.594567570166
2024-09-13,60571.299770996935,62488.34385232761
2024-09-14,60005.120631739046,63603.21297517631
2024-09-15,59182.836579059905,64035.93396176904
2024-09-16,58192.50692120379,62388.814614279734
2024-09-17,60308.53841338979,63370.54774688653
2024-09-18,61649.67926173193,63856.05599406235
2024-09-19,62940.45617418928,65295.67905257686
2024-09-20,63192.97703065208,65759.23524698731
2024-09-21,63394.840214903015,65260.06589176165
2024-09-22,63648.711310933766,65278.1401512415
2024-09-23,63329.80130687174,65577.39824748639
2024-09-24,64301.96905811815,65606.54447142349
2024-09-25,63143.143715229075,65677.06250949105
2024-09-26,65181.02002484382,65509.431451549855
2024-09-27,65790.6650339832,65645.10683971607
2024-09-28,65887.64776758272,65563.10228995548
2024-09-29,65635.30457422098,65583.1142616574
2024-09-30,63329.50046402063,65578.99010887177
2024-10-01,60837.00796724012,63063.97229971984
2024-10-02,60632.78541700727,61230.7875709247
2024-10-03,60759.40235586144,60554.38150609456
2024-10-04,62067.47654783672,61331.72626957421
2024-10-05,62089.9497456985,61620.25588335721
2024-10-06,62818.95356380392,62127.76592896668
2024-10-07,62236.659196860404,62163.921554450426
2024-10-08,62131.96825351678,61518.20382927447
2024-10-09,60582.10168754059,61066.08913857145
2024-10-10,60274.50053207054,58874.242879065336
2024-10-11,62445.08880932603,59637.85310041337
2024-10-12,63193.024407479024,61550.78961084783
2024-10-13,62851.37589532432,61456.58789699002
2024-10-14,66046.12562255799,63588.90043575596
2024-10-15,67041.11005366153,64720.612020583925
2024-10-16,67612.72094612876,65671.0788162478
2024-10-17,67399.83791193021,65381.923828349114
2024-10-18,68418.79027978568,66067.83131582323
2024-10-19,68362.73401814332,65999.43812844418
2024-10-20,69001.70528316218,66600.80403707476
2024-10-21,67367.85381605907,67100.08946552644
2024-10-22,67361.40582991173,66536.2720610918
2024-10-23,66432.19464765713,66715.38489304333
2024-10-24,68161.05560351748,67108.98683362687
2024-10-25,66642.41510418132,66343.35835945094
